Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"takeScreenshot(""Screenshots/StartPage/1440x900/Start-"" + n + "".png"")",Chrome 74.0.3729.131,,2019-05-13 21:48:34,2019-05-13 21:48:35,"0,420s",PASSED
(n++),Chrome 74.0.3729.131,,2019-05-13 21:48:35,2019-05-13 21:48:35,"0,000s",PASSED
closeBrowser(),Chrome 74.0.3729.131,,2019-05-13 21:48:35,2019-05-13 21:48:35,"0,752s",PASSED
,,,,,,
Test Cases/T.C_StartPage_1600x900_WEB,Chrome 74.0.3729.131,,2019-05-13 21:48:35,2019-05-13 21:48:43,"7,503s",PASSED
n = 0,Chrome 74.0.3729.131,,2019-05-13 21:48:36,2019-05-13 21:48:36,"0,001s",PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,2019-05-13 21:48:36,2019-05-13 21:48:38,"2,336s",PASSED
"setViewPortSize(1600, 900)",Chrome 74.0.3729.131,,2019-05-13 21:48:38,2019-05-13 21:48:39,"1,128s",PASSED
"navigateToUrl(""http://veryx-client-dev.azurewebsites.net/#/"")",Chrome 74.0.3729.131,,2019-05-13 21:48:39,2019-05-13 21:48:41,"1,579s",PASSED
waitForPageLoad(0),Chrome 74.0.3729.131,,2019-05-13 21:48:41,2019-05-13 21:48:41,"0,027s",PASSED
"setText(findTestObject(""StartPage_OR/input_Correo Electrnico _email""), ""alejos@mail.com"")",Chrome 74.0.3729.131,,2019-05-13 21:48:41,2019-05-13 21:48:41,"0,264s",PASSED
"setEncryptedText(findTestObject(""StartPage_OR/input_Contrasea _password""), ""n3FO92K+dHdem137Wy3cYA=="")",Chrome 74.0.3729.131,,2019-05-13 21:48:41,2019-05-13 21:48:41,"0,198s",PASSED
"takeScreenshot(""Screenshots/StartPage/1600x900/Start-"" + n + "".png"")",Chrome 74.0.3729.131,,2019-05-13 21:48:41,2019-05-13 21:48:42,"0,547s",PASSED
(n++),Chrome 74.0.3729.131,,2019-05-13 21:48:42,2019-05-13 21:48:42,"0,000s",PASSED
"scrollToElement(findTestObject(""StartPage_OR/p_2019 VERyx""), 0)",Chrome 74.0.3729.131,,2019-05-13 21:48:42,2019-05-13 21:48:42,"0,072s",PASSED
"takeScreenshot(""Screenshots/StartPage/1600x900/Start-"" + n + "".png"")",Chrome 74.0.3729.131,,2019-05-13 21:48:42,2019-05-13 21:48:42,"0,375s",PASSED
(n++),Chrome 74.0.3729.131,,2019-05-13 21:48:42,2019-05-13 21:48:42,"0,001s",PASSED
closeBrowser(),Chrome 74.0.3729.131,,2019-05-13 21:48:42,2019-05-13 21:48:43,"0,738s",PASSED
,,,,,,
Test Cases/T.C_StartPage_1920x1080_WEB,Chrome 74.0.3729.131,,2019-05-13 21:48:43,2019-05-13 21:48:51,"7,899s",PASSED
n = 0,Chrome 74.0.3729.131,,2019-05-13 21:48:43,2019-05-13 21:48:43,"0,001s",PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,2019-05-13 21:48:43,2019-05-13 21:48:46,"2,419s",PASSED
"setViewPortSize(1920, 1080)",Chrome 74.0.3729.131,,2019-05-13 21:48:46,2019-05-13 21:48:47,"1,131s",PASSED
"navigateToUrl(""http://veryx-client-dev.azurewebsites.net/#/"")",Chrome 74.0.3729.131,,2019-05-13 21:48:47,2019-05-13 21:48:48,"1,655s",PASSED
waitForPageLoad(0),Chrome 74.0.3729.131,,2019-05-13 21:48:48,2019-05-13 21:48:48,"0,012s",PASSED
"setText(findTestObject(""StartPage_OR/input_Correo Electrnico _email""), ""alejos@mail.com"")",Chrome 74.0.3729.131,,2019-05-13 21:48:48,2019-05-13 21:48:49,"0,293s",PASSED
"setEncryptedText(findTestObject(""StartPage_OR/input_Contrasea _password""), ""n3FO92K+dHdem137Wy3cYA=="")",Chrome 74.0.3729.131,,2019-05-13 21:48:49,2019-05-13 21:48:49,"0,170s",PASSED
"takeScreenshot(""Screenshots/StartPage/1920x1080/Start-"" + n + "".png"")",Chrome 74.0.3729.131,,2019-05-13 21:48:49,2019-05-13 21:48:50,"0,821s",PASSED
(n++),Chrome 74.0.3729.131,,2019-05-13 21:48:50,2019-05-13 21:48:50,"0,001s",PASSED
"scrollToElement(findTestObject(""StartPage_OR/p_2019 VERyx""), 0)",Chrome 74.0.3729.131,,2019-05-13 21:48:50,2019-05-13 21:48:50,"0,043s",PASSED
"takeScreenshot(""Screenshots/StartPage/1920x1080/Start-"" + n + "".png"")",Chrome 74.0.3729.131,,2019-05-13 21:48:50,2019-05-13 21:48:50,"0,379s",PASSED
(n++),Chrome 74.0.3729.131,,2019-05-13 21:48:50,2019-05-13 21:48:50,"0,001s",PASSED
closeBrowser(),Chrome 74.0.3729.131,,2019-05-13 21:48:50,2019-05-13 21:48:51,"0,774s",PASSED
